ACOUSTICS,,
,,
World Rank,Institution,Score
1,United Kingdom University of Southampton ,100
2,"USA University of California, San Diego ",98.11
3,Belgium Katholieke Universiteit Leuven ,95.06
4,United Kingdom University of Cambridge ,92.58
5,Denmark Technical University of Denmark ,89.88
6,USA University of Washington ,89.18
7,United Kingdom University College London ,88.14
8,Hong Kong Hong Kong Polytechnic University ,87.7
9,United Kingdom King's College London ,87.14
10,USA University of Texas at Austin ,86.32
,,
,,
,,
,,
AGRICULTURAL ECONOMICS & POLICY,,
,,
World Rank,Institution,Score
1,"USA University of California, Davis ",100
2,USA Cornell University ,99.38
3,USA Iowa State University ,97.43
4,USA Michigan State University ,93.76
4,USA Purdue University ,93.76
6,Netherlands Wageningen University and Research Centre ,88.41
7,"USA University of Maryland, College Park ",85.75
8,USA Ohio State University ,85.18
8,USA University of Illinois at Urbana–Champaign ,85.18
10,USA North Carolina State University ,83.38
10,"USA University of California, Berkeley ",83.38
,,
,,
,,
,,
AGRICULTURAL ENGINEERING,,
,,
World Rank,Institution,Score
1,China Harbin Institute of Technology ,100
2,China Zhejiang University ,95.61
3,China Tsinghua University ,91.04
3,China University of Chinese Academy of Sciences ,91.04
5,China South China University of Technology ,89.03
6,China Shandong University ,88.44
7,China Tongji University ,87.31
8,Taiwan National Taiwan University ,86.54
9,China Jiangnan University ,84.15
10,China Dalian University of Technology ,83.5
,,
,,
,,
,,
"AGRICULTURE, DAIRY & ANIMAL SCIENCE",,
,,
World Rank,Institution,Score
1,Netherlands Wageningen University and Research Centre ,100
2,USA University of Wisconsin–Madison ,99.4
3,Canada University of Guelph ,99.3
4,Denmark Aarhus University ,98.75
5,USA University of Illinois at Urbana–Champaign ,97.06
6,USA Cornell University ,95.5
7,USA Kansas State University ,95.36
8,USA Iowa State University ,94.32
9,USA University of Florida ,92.56
10,USA University of Minnesota ,90.66
,,
,,
,,
,,
"AGRICULTURE, MULTIDISCIPLINARY",,
,,
World Rank,Institution,Score
1,China China Agricultural University ,100
2,Taiwan National Taiwan University ,99.83
3,"USA University of California, Davis ",99.55
4,Netherlands Wageningen University and Research Centre ,98.08
5,China Jiangnan University ,97.77
6,Taiwan China Medical University (Taiwan) ,95.27
7,China Nanjing Agricultural University ,93.84
8,Taiwan National Chung Hsing University ,93.52
9,China Zhejiang University ,93.12
10,Germany Technical University of Munich ,92.1
,,
,,
,,
,,
AGRONOMY,,
,,
World Rank,Institution,Score
1,China China Agricultural University ,100
2,Netherlands Wageningen University and Research Centre ,98.23
3,China Northwest A&F University ,89.98
4,China Nanjing Agricultural University ,89.58
5,Australia University of Western Australia ,89.09
6,China University of Chinese Academy of Sciences ,88.33
7,"USA University of California, Davis ",87.98
7,Germany University of Hohenheim ,87.98
9,China Huazhong Agricultural University ,87.54
10,Australia University of Adelaide ,86.02
,,
,,
,,
,,
ALLERGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,United Kingdom Imperial College London ,96.16
3,Sweden Karolinska Institute ,93.56
4,USA Johns Hopkins University ,92.28
5,Germany Free University of Berlin ,91.99
5,Germany Humboldt University of Berlin ,91.99
7,Austria Medical University of Vienna ,88.32
7,Netherlands Utrecht University ,88.32
9,Germany Ludwig Maximilian University of Munich ,87.22
10,USA University of Wisconsin–Madison ,84.76
,,
,,
,,
,,
ANATOMY & MORPHOLOGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,United Kingdom University of Oxford ,86.32
3,United Kingdom University College London ,84.9
4,USA Vanderbilt University ,84.15
5,United Kingdom King's College London ,83.37
6,USA University of Utah ,82.97
7,Canada McGill University ,82.15
8,France Pierre-and-Marie-Curie University ,81.72
9,Australia University of Queensland ,80.85
10,Belgium Ghent University ,79.94
10,USA University of Washington ,79.94
,,
,,
,,
,,
ANDROLOGY,,
,,
World Rank,Institution,Score
1,China Shanghai Jiao Tong University ,100
2,China Fudan University ,84.63
3,China Nanjing Medical University ,80.33
4,China Peking University ,76.95
5,China Sun Yat-sen University ,70.75
6,China Huazhong University of Science and Technology ,66.91
6,China Nanjing University ,66.91
6,China Second Military Medical University ,66.91
6,South Korea Seoul National University ,66.91
10,South Korea Korea University ,65.48
10,China Sichuan University ,65.48
10,China Zhejiang University ,65.48
,,
,,
,,
,,
ANESTHESIOLOGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,Canada University of Toronto ,89.51
3,"USA University of California, San Francisco ",84.76
4,USA Stanford University ,82.24
5,USA University of Iowa ,81.16
6,USA University of Washington ,81.07
7,USA Johns Hopkins University ,80.99
8,USA University of Pennsylvania ,80.54
9,USA Duke University ,80.36
10,USA University of Michigan ,79.72
,,
,,
,,
,,
ANTHROPOLOGY,,
,,
World Rank,Institution,Score
1,United Kingdom University College London ,100
2,United Kingdom University of Oxford ,96.07
3,United Kingdom University of Cambridge ,94.3
4,USA Arizona State University ,93.52
5,South Africa University of the Witwatersrand ,92.34
6,USA Stony Brook University ,91.07
7,USA Harvard University ,88.86
8,USA Ohio State University ,86.17
9,USA George Washington University ,85.82
10,Australia Australian National University ,85.3
10,United Kingdom Durham University ,85.3
,,
,,
,,
,,
AREA STUDIES,,
,,
World Rank,Institution,Score
1,United Kingdom University of Oxford ,100
2,South Africa University of the Witwatersrand ,88.05
3,"United Kingdom SOAS, University of London ",81.85
4,South Africa University of Cape Town ,81.05
5,United Kingdom London School of Economics ,80.22
6,United Kingdom University of Cambridge ,79.93
7,United Kingdom University of Birmingham ,79.04
8,USA Harvard University ,73.85
9,United Kingdom University of Manchester ,72.19
10,USA Stanford University ,71.75
,,
,,
,,
,,
ASTRONOMY & ASTROPHYSICS,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA California Institute of Technology ,97.82
3,United Kingdom University of Cambridge ,92.82
4,"USA University of California, Berkeley ",92.5
5,USA University of Arizona ,89.82
6,"USA University of California, Santa Cruz ",87.97
7,United Kingdom University of Oxford ,86.43
8,Japan University of Tokyo ,86.4
9,Netherlands Leiden University ,86.17
10,USA Johns Hopkins University ,85.74
,,
,,
,,
,,
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,,
,,
World Rank,Institution,Score
1,"USA University of California, San Diego ",100
2,USA University of Washington ,91.28
3,USA University of Texas at Austin ,88.57
4,Denmark Technical University of Denmark ,88.32
5,USA Boston University ,86.56
6,United Kingdom University of Cambridge ,86.42
7,United Kingdom University of Southampton ,85.98
8,USA Pennsylvania State University ,84.29
9,USA Massachusetts Institute of Technology ,84.13
10,France Grenoble Alpes University ,82.95
,,
,,
,,
,,
AUTOMATION & CONTROL SYSTEMS,,
,,
World Rank,Institution,Score
1,China Harbin Institute of Technology ,100
2,Singapore Nanyang Technological University ,96.12
3,China Zhejiang University ,94.3
4,USA University of Illinois at Urbana–Champaign ,94.1
5,Singapore National University of Singapore ,93.39
6,USA Massachusetts Institute of Technology ,93.03
7,Hong Kong City University of Hong Kong ,92.88
8,"USA University of California, Berkeley ",92.35
9,USA University of Michigan ,91.88
10,"USA University of California, San Diego ",91.32
,,
,,
,,
,,
BEHAVIORAL SCIENCES,,
,,
World Rank,Institution,Score
1,United Kingdom University College London ,100
2,Canada University of Toronto ,95.91
3,United Kingdom University of Oxford ,92.17
4,USA Harvard University ,91.24
5,United Kingdom University of Cambridge ,90.52
6,"USA University of California, San Diego ",85.68
7,"USA University of California, Davis ",84.67
8,Canada McGill University ,84.2
9,Switzerland University of Zurich ,83.83
10,Canada University of Montreal ,82.7
,,
,,
,,
,,
BIOCHEMICAL RESEARCH METHODS,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA Massachusetts Institute of Technology ,91.1
3,USA University of Washington ,87.97
4,Switzerland Swiss Federal Institute of Technology in Zurich ,87
5,"USA University of California, San Diego ",86.28
6,USA Stanford University ,86.25
7,United Kingdom University of Cambridge ,86.13
8,Canada University of Toronto ,85.92
9,USA University of Michigan ,85.76
10,Singapore National University of Singapore ,84.38
,,
,,
,,
,,
BIOCHEMISTRY & MOLECULAR BIOLOGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,"USA University of California, San Diego ",88.66
3,Canada University of Toronto ,88.61
4,United Kingdom University of Oxford ,88.59
5,United Kingdom University of Cambridge ,88.5
6,Japan University of Tokyo ,88.29
7,USA University of Pennsylvania ,87.99
8,USA University of Michigan ,87.63
9,USA Massachusetts Institute of Technology ,87.37
10,"USA University of California, San Francisco ",87.25
,,
,,
,,
,,
BIODIVERSITY CONSERVATION,,
,,
World Rank,Institution,Score
1,Australia University of Queensland ,100
2,Australia James Cook University ,96.68
3,"USA University of California, Davis ",93.32
4,United Kingdom University of Oxford ,92.79
5,"USA University of California, Berkeley ",91.81
6,United Kingdom University of Cambridge ,91.53
